LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1709872542.931991,970854.000,27936,3,AZ,1,100,0.956
1709872542.971992,970894.000,27936,3,AZ,1,100,0.955
1709872543.011992,970934.000,27952,2,AZ,1,100,0.956
1709872543.051992,970974.000,27952,2,AZ,1,100,0.954
1709872543.087660,971009.667,27967,3,AZ,1,100,0.951
1709872543.123327,971045.333,27967,3,AZ,1,100,0.953
1709872543.158994,971081.000,27967,3,AZ,1,100,0.953
1709872543.198994,971121.000,27987,3,AZ,1,100,0.954
1709872543.238995,971161.000,27987,3,AZ,1,100,0.958
1709872543.278995,971201.000,27987,3,AZ,1,100,0.954
1709872543.318995,971241.000,28003,2,AZ,1,100,0.950
1709872543.358996,971281.000,28003,2,AZ,1,100,0.953
1709872543.398997,971321.000,28022,3,AZ,1,100,0.952
1709872543.438997,971361.000,28022,3,AZ,1,100,0.953
1709872543.478997,971401.000,28022,3,AZ,1,100,0.952
1709872543.518998,971441.000,28037,2,AZ,1,100,0.954
1709872543.558998,971481.000,28037,2,AZ,1,100,0.955
1709872543.598999,971521.000,28054,3,AZ,1,100,0.960
1709872543.638999,971561.000,28054,3,AZ,1,100,0.951
1709872543.679000,971601.000,28054,3,AZ,1,100,0.954
1709872543.719000,971641.000,28070,2,AZ,1,100,0.950
1709872543.759001,971681.000,28070,2,AZ,1,100,0.950
1709872543.799001,971721.000,28090,3,AZ,1,100,0.952
1709872543.839001,971761.000,28090,3,AZ,1,100,0.948
1709872543.879002,971801.000,28090,3,AZ,1,100,0.953
1709872543.919003,971841.000,28109,4,AZ,1,100,0.954
1709872543.959003,971881.000,28109,4,AZ,1,100,0.952
1709872543.999003,971921.000,28109,4,AZ,1,100,0.954
1709872544.039004,971961.000,28109,4,AZ,1,100,0.951
1709872544.079004,972001.000,28126,3,AZ,1,100,0.950
1709872544.119005,972041.000,28126,3,AZ,1,100,0.956
1709872544.159005,972081.000,28126,3,AZ,1,100,0.953
1709872544.199006,972121.000,28141,2,AZ,1,100,0.952
1709872544.239006,972161.000,28141,2,AZ,1,100,0.952
1709872544.279006,972201.000,28158,3,AZ,1,100,0.953
1709872544.319007,972241.000,28158,3,AZ,1,100,0.951
1709872544.359007,972281.000,28158,3,AZ,1,100,0.955
1709872544.399008,972321.000,28174,2,AZ,1,100,0.954
1709872544.439008,972361.000,28174,2,AZ,1,100,0.951
1709872544.479009,972401.000,28194,3,AZ,1,100,0.949
1709872544.519009,972441.000,28194,3,AZ,1,100,0.955
1709872544.559010,972481.000,28194,3,AZ,1,100,0.956
1709872544.599010,972521.000,28208,2,AZ,1,100,0.952
1709872544.639011,972561.000,28208,2,AZ,1,100,0.952
1709872544.679011,972601.000,28225,3,AZ,1,100,0.953
1709872544.719012,972641.000,28225,3,AZ,1,100,0.955
1709872544.759012,972681.000,28225,3,AZ,1,100,0.952
1709872544.799012,972721.000,28241,2,AZ,1,100,0.954
1709872544.839013,972761.000,28241,2,AZ,1,100,0.954
1709872544.879014,972801.000,28259,3,AZ,1,100,0.952
1709872544.919014,972841.000,28259,3,AZ,1,100,0.952
1709872544.959014,972881.000,28259,3,AZ,1,100,0.955
1709872544.994681,972916.667,28273,3,AZ,1,100,0.951
1709872545.030349,972952.333,28273,3,AZ,1,100,0.950
1709872545.066015,972988.000,28273,3,AZ,1,100,0.956
1709872545.106016,973028.000,28290,2,AZ,1,100,0.954
1709872545.146016,973068.000,28290,2,AZ,1,100,0.952
1709872545.186017,973108.000,28307,3,AZ,1,100,0.950
1709872545.226017,973148.000,28307,3,AZ,1,100,0.956
1709872545.266018,973188.000,28307,3,AZ,1,100,0.955
1709872545.306018,973228.000,28326,2,AZ,1,100,0.951
1709872545.346019,973268.000,28326,2,AZ,1,100,0.953
1709872545.386019,973308.000,28341,3,AZ,1,100,0.952
1709872545.426020,973348.000,28341,3,AZ,1,100,0.953
1709872545.466020,973388.000,28341,3,AZ,1,100,0.952
1709872545.506021,973428.000,28360,2,AZ,1,100,0.958
1709872545.546021,973468.000,28360,2,AZ,1,100,0.953
1709872545.586021,973508.000,28378,3,AZ,1,100,0.955
1709872545.626022,973548.000,28378,3,AZ,1,100,0.953
1709872545.666022,973588.000,28378,3,AZ,1,100,0.954
1709872545.706023,973628.000,28395,2,AZ,1,100,0.954
1709872545.746023,973668.000,28395,2,AZ,1,100,0.951
1709872545.786024,973708.000,28412,3,AZ,1,100,0.955
1709872545.826024,973748.000,28412,3,AZ,1,100,0.953
1709872545.866025,973788.000,28412,3,AZ,1,100,0.955
1709872545.906025,973828.000,28429,2,AZ,1,100,0.951
1709872545.946026,973868.000,28429,2,AZ,1,100,0.949
1709872545.986026,973908.000,28445,3,AZ,1,100,0.958
1709872546.026026,973948.000,28445,3,AZ,1,100,0.958
1709872546.066027,973988.000,28445,3,AZ,1,100,0.963
1709872546.106027,974028.000,28464,2,AZ,1,100,0.960
1709872546.146028,974068.000,28464,2,AZ,1,100,0.950
1709872546.186028,974108.000,28481,3,AZ,1,100,0.955
1709872546.226029,974148.000,28481,3,AZ,1,100,0.962
1709872546.266029,974188.000,28481,3,AZ,1,100,0.960
1709872546.306030,974228.000,28496,2,AZ,1,100,0.948
1709872546.346030,974268.000,28496,2,AZ,1,100,0.964
1709872546.386031,974308.000,28514,3,AZ,1,100,0.946
1709872546.426031,974348.000,28514,3,AZ,1,100,0.953
1709872546.466032,974388.000,28514,3,AZ,1,100,0.955
1709872546.506032,974428.000,28532,3,AZ,1,100,0.948
1709872546.546032,974468.000,28532,3,AZ,1,100,0.954
1709872546.586033,974508.000,28532,3,AZ,1,100,0.937
1709872546.626033,974548.000,28548,2,AZ,1,100,0.953
1709872546.666034,974588.000,28548,2,AZ,1,100,0.940
1709872546.706034,974628.000,28563,3,AZ,1,100,0.938
1709872546.746035,974668.000,28563,3,AZ,1,100,0.942
1709872546.786035,974708.000,28563,3,AZ,1,100,0.930
1709872546.826036,974748.000,28580,2,AZ,1,100,0.943
1709872546.866036,974788.000,28580,2,AZ,1,100,0.939
1709872546.901370,974823.333,28597,3,AZ,1,100,0.938
1709872546.936704,974858.667,28597,3,AZ,1,100,0.927
1709872546.972037,974894.000,28597,3,AZ,1,100,0.931
1709872547.012038,974934.000,28613,3,AZ,1,100,0.930
1709872547.052038,974974.000,28613,3,AZ,1,100,0.935
1709872547.092039,975014.000,28613,3,AZ,1,100,0.937
1709872547.132039,975054.000,28630,2,AZ,1,100,0.927
1709872547.172040,975094.000,28630,2,AZ,1,100,0.931
1709872547.212040,975134.000,28647,3,AZ,1,100,0.933
1709872547.252041,975174.000,28647,3,AZ,1,100,0.929
1709872547.292041,975214.000,28647,3,AZ,1,100,0.931
1709872547.332042,975254.000,28664,2,AZ,1,100,0.932
1709872547.372042,975294.000,28664,2,AZ,1,100,0.934
1709872547.412042,975334.000,28680,3,AZ,1,100,0.928
1709872547.452043,975374.000,28680,3,AZ,1,100,0.923
1709872547.492043,975414.000,28680,3,AZ,1,100,0.927
