LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1706146412.063191,1526672.000,55742,3,AX,1,100,0.163
1706146412.103191,1526712.000,55742,3,AX,1,100,0.163
1706146412.143191,1526752.000,55764,4,AX,1,100,0.169
1706146412.183191,1526792.000,55764,4,AX,1,100,0.157
1706146412.223191,1526832.000,55764,4,AX,1,100,0.162
1706146412.263191,1526872.000,55764,4,AX,1,100,0.158
1706146412.303191,1526912.000,55780,2,AX,1,100,0.164
1706146412.343191,1526952.000,55780,2,AX,1,100,0.166
1706146412.382857,1526991.667,55796,3,AX,1,100,0.161
1706146412.422524,1527031.333,55796,3,AX,1,100,0.166
1706146412.462191,1527071.000,55796,3,AX,1,100,0.161
1706146412.502524,1527111.333,55816,3,AX,1,100,0.165
1706146412.542857,1527151.667,55816,3,AX,1,100,0.162
1706146412.583191,1527192.000,55816,3,AX,1,100,0.161
1706146412.616691,1527225.500,55834,2,AX,1,100,0.159
1706146412.650191,1527259.000,55834,2,AX,1,100,0.163
1706146412.690191,1527299.000,55850,3,AX,1,100,0.164
1706146412.730191,1527339.000,55850,3,AX,1,100,0.164
1706146412.770191,1527379.000,55850,3,AX,1,100,0.167
1706146412.809691,1527418.500,55865,2,AX,1,100,0.162
1706146412.849191,1527458.000,55865,2,AX,1,100,0.167
1706146412.889191,1527498.000,55882,3,AX,1,100,0.166
1706146412.929191,1527538.000,55882,3,AX,1,100,0.161
1706146412.969191,1527578.000,55882,3,AX,1,100,0.164
1706146413.009191,1527618.000,55899,3,AX,1,100,0.158
1706146413.049191,1527658.000,55899,3,AX,1,100,0.171
1706146413.089191,1527698.000,55899,3,AX,1,100,0.171
1706146413.129191,1527738.000,55917,2,AX,1,100,0.168
1706146413.169191,1527778.000,55917,2,AX,1,100,0.151
1706146413.209191,1527818.000,55937,4,AX,1,100,0.162
1706146413.249191,1527858.000,55937,4,AX,1,100,0.158
1706146413.289191,1527898.000,55937,4,AX,1,100,0.168
1706146413.329191,1527938.000,55937,4,AX,1,100,0.171
1706146413.369191,1527978.000,55953,3,AX,1,100,0.166
1706146413.409191,1528018.000,55953,3,AX,1,100,0.165
1706146413.449191,1528058.000,55953,3,AX,1,100,0.169
1706146413.489191,1528098.000,55968,2,AX,1,100,0.173
