LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1701220228.177074,1385446.000,30604,3,GZ,1,100,0.244
1701220228.217075,1385486.000,30604,3,GZ,1,100,0.366
1701220228.257076,1385526.000,30620,2,GZ,1,100,0.336
1701220228.297077,1385566.000,30620,2,GZ,1,100,0.488
1701220228.337078,1385606.000,30636,3,GZ,1,100,0.671
1701220228.377079,1385646.000,30636,3,GZ,1,100,0.610
1701220228.417080,1385686.000,30636,3,GZ,1,100,0.397
1701220228.457081,1385726.000,30653,2,GZ,1,100,0.336
1701220228.497082,1385766.000,30653,2,GZ,1,100,0.397
1701220228.537083,1385806.000,30670,3,GZ,1,100,0.488
1701220228.577084,1385846.000,30670,3,GZ,1,100,0.275
1701220228.617085,1385886.000,30670,3,GZ,1,100,0.458
1701220228.657086,1385926.000,30685,2,GZ,1,100,0.519
1701220228.697087,1385966.000,30685,2,GZ,1,100,0.427
1701220228.737088,1386006.000,30701,3,GZ,1,100,0.427
1701220228.777089,1386046.000,30701,3,GZ,1,100,0.427
1701220228.817091,1386086.000,30701,3,GZ,1,100,0.458
1701220228.857091,1386126.000,30718,2,GZ,1,100,0.458
1701220228.897092,1386166.000,30718,2,GZ,1,100,0.275
1701220228.937093,1386206.000,30735,3,GZ,1,100,0.427
1701220228.977094,1386246.000,30735,3,GZ,1,100,0.519
1701220229.017095,1386286.000,30735,3,GZ,1,100,0.549
1701220229.057096,1386326.000,30750,2,GZ,1,100,0.641
1701220229.097097,1386366.000,30750,2,GZ,1,100,0.519
1701220229.137098,1386406.000,30768,3,GZ,1,100,0.458
1701220229.177099,1386446.000,30768,3,GZ,1,100,0.336
1701220229.217100,1386486.000,30768,3,GZ,1,100,0.336
1701220229.257102,1386526.000,30786,2,GZ,1,100,0.397
1701220229.297102,1386566.000,30786,2,GZ,1,100,0.549
1701220229.337103,1386606.000,30808,4,GZ,1,100,0.519
1701220229.377105,1386646.000,30808,4,GZ,1,100,0.580
1701220229.417105,1386686.000,30808,4,GZ,1,100,0.153
1701220229.457106,1386726.000,30808,4,GZ,1,100,0.458
1701220229.497108,1386766.000,30824,3,GZ,1,100,0.153
1701220229.537108,1386806.000,30824,3,GZ,1,100,0.397
1701220229.577110,1386846.000,30824,3,GZ,1,100,0.427
1701220229.617110,1386886.000,30842,2,GZ,1,100,0.244
1701220229.657111,1386926.000,30842,2,GZ,1,100,0.397
1701220229.692779,1386961.667,30856,3,GZ,1,100,0.610
1701220229.728446,1386997.333,30856,3,GZ,1,100,0.458
1701220229.764114,1387033.000,30856,3,GZ,1,100,0.214
1701220229.804115,1387073.000,30873,3,GZ,1,100,-0.214
1701220229.844116,1387113.000,30873,3,GZ,1,100,0.153
1701220229.884117,1387153.000,30873,3,GZ,1,100,0.519
1701220229.924118,1387193.000,30890,2,GZ,1,100,0.488
1701220229.964119,1387233.000,30890,2,GZ,1,100,0.061
1701220230.004120,1387273.000,30907,3,GZ,1,100,0.366
1701220230.044121,1387313.000,30907,3,GZ,1,100,0.580
1701220230.084122,1387353.000,30907,3,GZ,1,100,0.458
1701220230.124123,1387393.000,30923,2,GZ,1,100,0.580
1701220230.164124,1387433.000,30923,2,GZ,1,100,0.610
1701220230.204125,1387473.000,30941,3,GZ,1,100,0.366
1701220230.244126,1387513.000,30941,3,GZ,1,100,0.366
1701220230.284127,1387553.000,30941,3,GZ,1,100,0.336
1701220230.324128,1387593.000,30957,2,GZ,1,100,0.366
1701220230.364129,1387633.000,30957,2,GZ,1,100,0.580
1701220230.404130,1387673.000,30974,3,GZ,1,100,0.427
1701220230.444131,1387713.000,30974,3,GZ,1,100,0.336
1701220230.484132,1387753.000,30974,3,GZ,1,100,0.427
1701220230.524133,1387793.000,30989,2,GZ,1,100,0.580
1701220230.564134,1387833.000,30989,2,GZ,1,100,0.458
1701220230.604135,1387873.000,31006,3,GZ,1,100,0.366
1701220230.644136,1387913.000,31006,3,GZ,1,100,0.458
1701220230.684137,1387953.000,31006,3,GZ,1,100,0.336
1701220230.724138,1387993.000,31022,3,GZ,1,100,0.122
1701220230.764139,1388033.000,31022,3,GZ,1,100,-0.275
