LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1709251386.574070,1315120.000,22899,3,MZ,1,100,31
1709251386.614069,1315160.000,22899,3,MZ,1,100,32
1709251386.654067,1315200.000,22899,3,MZ,1,100,30
1709251386.694566,1315240.500,22913,2,MZ,1,100,31
1709251386.735064,1315281.000,22913,2,MZ,1,100,30
1709251386.774730,1315320.667,22931,3,MZ,1,100,30
1709251386.814395,1315360.333,22931,3,MZ,1,100,30
1709251386.854060,1315400.000,22931,3,MZ,1,100,30
1709251386.894559,1315440.500,22947,2,MZ,1,100,31
1709251386.935057,1315481.000,22947,2,MZ,1,100,31
1709251386.974723,1315520.667,22964,3,MZ,1,100,30
1709251387.014388,1315560.333,22964,3,MZ,1,100,31
1709251387.054053,1315600.000,22964,3,MZ,1,100,30
1709251387.094052,1315640.000,22978,2,MZ,1,100,30
1709251387.134051,1315680.000,22978,2,MZ,1,100,30
1709251387.174049,1315720.000,22996,3,MZ,1,100,31
1709251387.214048,1315760.000,22996,3,MZ,1,100,30
1709251387.254046,1315800.000,22996,3,MZ,1,100,31
1709251387.294378,1315840.333,23014,3,MZ,1,100,32
1709251387.334710,1315880.667,23014,3,MZ,1,100,31
1709251387.375042,1315921.000,23014,3,MZ,1,100,30
1709251387.414541,1315960.500,23031,2,MZ,1,100,31
1709251387.454040,1316000.000,23031,2,MZ,1,100,31
1709251387.490038,1316036.000,23048,3,MZ,1,100,31
1709251387.526037,1316072.000,23048,3,MZ,1,100,30
1709251387.562036,1316108.000,23048,3,MZ,1,100,31
1709251387.602034,1316148.000,23063,2,MZ,1,100,31
1709251387.642033,1316188.000,23063,2,MZ,1,100,32
1709251387.682032,1316228.000,23079,3,MZ,1,100,30
1709251387.722030,1316268.000,23079,3,MZ,1,100,31
1709251387.762029,1316308.000,23079,3,MZ,1,100,30
1709251387.802027,1316348.000,23097,3,MZ,1,100,31
1709251387.842026,1316388.000,23097,3,MZ,1,100,30
1709251387.882025,1316428.000,23097,3,MZ,1,100,31
1709251387.922023,1316468.000,23113,2,MZ,1,100,30
1709251387.962022,1316508.000,23113,2,MZ,1,100,30
1709251388.002021,1316548.000,23128,3,MZ,1,100,30
1709251388.042019,1316588.000,23128,3,MZ,1,100,31
1709251388.082018,1316628.000,23128,3,MZ,1,100,31
